site_id,date,time_idx,latitude,longitude,area,ndvi,precipitation,salinity,sea_surface_height,soil_moisture,ocean_current_speed,ocean_cur_dir_sin,ocean_cur_dir_cos,wind_speed,wind_direction_sin,wind_direction_cos
Al_Wajh,12/1/2015,24,26.02500566,36.70594648,160334,0.546011078,6.725393295,39.90875007,0.114866071,0.1402978,3.050994148,0.305323108,-0.952248812,3.624098354,-0.891411954,0.453193919
Al_Wajh,1/1/2016,25,26.02500566,36.70594648,196941,0.431941554,8.120584965,39.71544359,0.118148895,0.140300959,1.914213562,0.923879533,0.382683432,4.106155068,-0.869033675,0.494752939
Al_Wajh,2/1/2016,26,26.02500566,36.70594648,181236,0.367405131,0,39.44269149,0.128157617,0.140242994,2.58113883,0.05743284,-0.998349372,3.064267956,-0.885822166,0.464024882
Al_Wajh,3/1/2016,27,26.02500566,36.70594648,199417,0.447084274,7.554247856,38.64654108,0.162726616,0.140135303,2.08113883,-0.999963105,-0.008590028,2.875049505,-0.782987878,0.622036962
Al_Wajh,4/1/2016,28,26.02500566,36.70594648,153949,0.427298645,4.740398884,38.73205041,0.197698628,0.140076265,2,0.057139518,-0.998366203,1.397453959,-0.726917242,0.686725071
Al_Wajh,5/1/2016,29,26.02500566,36.70594648,129535,0.343480292,0.940853596,38.40882564,0.122791752,0.140020281,1.746451444,0.442127967,-0.896951984,3.675208707,-0.709505465,0.704699933
Al_Wajh,6/1/2016,30,26.02500566,36.70594648,166490,0.371738984,0,38.73865385,0.020561664,0.140143976,2.751841139,-0.532497365,-0.846431661,3.651265828,-0.706353239,0.707859521
Al_Wajh,7/1/2016,31,26.02500566,36.70594648,202176,0.404357569,0,38.61892154,-0.045791696,0.140016839,2,-0.525731112,-0.850650808,3.272330709,-0.547084667,0.837077277
Al_Wajh,8/1/2016,32,26.02500566,36.70594648,203336,0.345663686,0,38.96308095,-0.156739966,0.140122861,2.532247551,-0.005318321,-0.999985858,4.632383426,-0.658965442,0.752173215
Al_Wajh,9/1/2016,33,26.02500566,36.70594648,184643,0.373554804,0,39.36757598,-0.092083522,0.139952034,2.590168669,-0.066428786,-0.997791169,4.897910795,-0.732199955,0.681089734
Al_Wajh,10/1/2016,34,26.02500566,36.70594648,183638,0.398567006,3.239973783,39.62433882,-0.006175565,0.139814511,1.810660172,-0.342368798,-0.939565648,2.521753718,-0.830131473,0.557567698
Al_Wajh,11/1/2016,35,26.02500566,36.70594648,158535,0.485485441,6.369488001,39.13859166,0.083622273,0.13971442,2.678537449,-0.18265437,-0.983177187,2.128446357,-0.983033145,0.183428011
Al_Wajh,12/1/2016,36,26.02500566,36.70594648,188323,0.446050876,6.786203861,39.37193175,0.111416168,0.139634177,3,-0.709272826,0.704934081,4.833844184,-0.838209481,0.54534839
Al_Wajh,1/1/2017,37,26.02500566,36.70594648,183867,0.45662355,6.577174902,39.35204346,0.107031932,0.14002417,2.236067977,-0.935933278,-0.352177369,3.9800938,-0.786596,0.617468002
Al_Wajh,2/1/2017,38,26.02500566,36.70594648,179338,0.364013212,0,39.49982617,0.067767472,0.140044808,2.051546392,0.99672381,0.08088044,3.267259069,-0.919703839,0.392612849
Al_Wajh,3/1/2017,39,26.02500566,36.70594648,171341,0.319639529,5.545247555,39.50842976,0.069343728,0.13997221,1.51742825,-0.452636628,-0.891695062,3.350139264,-0.661936828,0.749559628
Al_Wajh,4/1/2017,40,26.02500566,36.70594648,111544,0.224629196,4.134545684,39.24604756,0.119527965,0.139846593,2.666666667,-0.985153713,-0.171674579,3.181108405,-0.709029619,0.7051787
Al_Wajh,5/1/2017,41,26.02500566,36.70594648,135831,0.310011212,1.255748272,38.94731975,0.082042611,0.139734685,1.560660172,0.559665655,-0.828718502,3.199520501,-0.66580035,0.746129944
Al_Wajh,6/1/2017,42,26.02500566,36.70594648,149300,0.377679883,0,39.11217818,-0.023282723,0.139601037,2.407114882,-0.405342351,-0.914164962,5.003461911,-0.693003529,0.720934192
Al_Wajh,7/1/2017,43,26.02500566,36.70594648,177200,0.404657734,0,39.37974291,-0.067758753,0.139811978,2.498202793,-0.545999597,-0.837785438,3.707194332,-0.576015975,0.817438436
Al_Wajh,8/1/2017,44,26.02500566,36.70594648,183920,0.325360562,0,38.98648741,-0.150052771,0.139810473,2.636521985,0.958639873,-0.284621844,5.576967093,-0.708009972,0.706202435
Al_Wajh,9/1/2017,45,26.02500566,36.70594648,189473,0.345531646,0,39.49452828,-0.145688285,0.139672488,2.10716364,0.924102882,-0.382143774,4.82899609,-0.753089609,0.65791796
Al_Wajh,10/1/2017,46,26.02500566,36.70594648,173355,0.431034031,0,39.6443235,-0.064318442,0.1395697,2.020056098,0.791748676,0.61084698,4.205481283,-0.787298161,0.616572466
Al_Wajh,11/1/2017,47,26.02500566,36.70594648,155498,0.44082275,6.679578781,39.47046476,0.064561862,0.139500901,3.16227766,-0.743294446,-0.668964398,3.530475081,-0.856612768,0.515959849
Al_Wajh,12/1/2017,48,26.02500566,36.70594648,161234,0.536605563,6.864496708,39.49811874,0.107667942,0.139438704,2.818951416,0.937381478,0.348304415,2.060344257,-0.998345564,0.057499003
Al_Wajh,1/1/2018,49,26.02500566,36.70594648,191575,0.516855738,6.300638199,39.31734322,0.050562245,0.139585197,2.779049447,-0.109102507,-0.994030504,3.431630693,-0.877063491,0.480374472
Al_Wajh,2/1/2018,50,26.02500566,36.70594648,173489,0.461133023,7.350944161,39.42979648,0.151458995,0.139743879,2.785246581,0.497718538,-0.867338606,2.021614693,-0.929375544,0.36913561
Al_Wajh,3/1/2018,51,26.02500566,36.70594648,187963,0.474504038,5.363260508,39.01116521,0.084991024,0.139663503,1.766123776,-0.858595577,-0.512653523,2.300109408,-0.704419483,0.709783905
Al_Wajh,4/1/2018,52,26.02500566,36.70594648,171789,0.388623033,2.40083003,38.92163436,0.121146775,0.139636949,1.745812289,0.154306946,-0.988022958,2.653739016,-0.584269978,0.811559359
Al_Wajh,5/1/2018,53,26.02500566,36.70594648,142104,0.323344869,1.729501843,38.88573177,0.098511348,0.139545947,1.664213562,-0.142240385,-0.989832144,2.091452062,-0.662682045,0.748900866
